,v1a_14us,name,type,time,OK
0,0.8566823,tran_SchGtKfsTlVh,Sch,Tue Nov 18 09:16:08 2025,True
1,0.859465,tran_SchGtKsfTlVh,Sch,Tue Nov 18 09:16:07 2025,True
2,0.8586988,tran_SchGtKffTlVh,Sch,Tue Nov 18 09:16:06 2025,True
3,0.8574889,tran_SchGtKssTlVh,Sch,Tue Nov 18 09:16:05 2025,True
4,0.582147,tran_SchGtKfsThVh,Sch,Tue Nov 18 09:16:04 2025,True
5,0.5898713,tran_SchGtKsfThVh,Sch,Tue Nov 18 09:16:03 2025,True
6,0.584926,tran_SchGtKffThVh,Sch,Tue Nov 18 09:16:03 2025,True
7,0.5885051,tran_SchGtKssThVh,Sch,Tue Nov 18 09:16:01 2025,True
8,0.8506812,tran_SchGtKfsTlVl,Sch,Tue Nov 18 09:16:01 2025,True
9,0.8512906,tran_SchGtKsfTlVl,Sch,Tue Nov 18 09:16:00 2025,True
10,0.8511925,tran_SchGtKffTlVl,Sch,Tue Nov 18 09:15:59 2025,True
11,0.8509815,tran_SchGtKssTlVl,Sch,Tue Nov 18 09:15:58 2025,True
12,0.571559,tran_SchGtKfsThVl,Sch,Tue Nov 18 09:15:57 2025,True
13,0.5798125,tran_SchGtKsfThVl,Sch,Tue Nov 18 09:15:56 2025,True
14,0.5748134,tran_SchGtKffThVl,Sch,Tue Nov 18 09:15:55 2025,True
15,0.5780688,tran_SchGtKssThVl,Sch,Tue Nov 18 09:15:54 2025,True
