Temperature (°C),Output voltage (V),Coarse code,Fine code
-40.0,0.340406,0.003,0.005
-35.0,0.347041,0.003,0.005
-30.0,0.34835,0.003,0.005
-25.0,0.360473,0.003,0.006
-20.0,0.36413,0.003,0.006
-15.0,0.374019,0.003,0.007
-10.0,0.378558,0.003,0.007
-5.0,0.389561,0.003,0.008
0.0,0.392567,0.003,0.008
5.0,0.403972,0.003,0.009
10.0,0.417881,0.004,0.004
15.0,0.420294,0.004,0.004
20.0,0.431986,0.004,0.005
25.0,0.43614,0.004,0.005
30.0,0.446467,0.004,0.006
35.0,0.452376,0.004,0.006
40.0,0.452914,0.004,0.006
45.0,0.465108,0.004,0.007
50.0,0.467509,0.004,0.007
55.0,0.478716,0.004,0.008
60.0,0.483023,0.004,0.008
65.0,0.493883,0.004,0.009
70.0,0.502919,0.005,0.003
75.0,0.51395,0.005,0.004
80.0,0.519361,0.005,0.004
85.0,0.521225,0.005,0.004
90.0,0.532757,0.005,0.005
95.0,0.538261,0.005,0.005
100.0,0.551737,0.005,0.006
105.0,0.554733,0.005,0.006
110.0,0.550157,0.005,0.006
115.0,0.56473,0.005,0.007
120.0,0.567155,0.005,0.007
125.0,0.582571,0.005,0.008
