Temperature (°C),Output voltage (V),Coarse code,Fine code,Minimum power (uW),Maximum power (uW),Average power (uW)
-40.0,0.892656,0.01,0.002,-18.669600000000003,638.9424,101.50410904584449
-35.0,0.900908,0.01,0.002,-19.59966,643.5215999999999,100.75384774162895
-30.0,0.902256,0.01,0.002,-19.597140000000003,649.305,100.2990205706557
-25.0,0.903586,0.01,0.002,-37.12464000000001,635.6555999999999,99.43755308273612
-20.0,0.905067,0.01,0.002,-19.58508,660.6378,100.28507836547587
-15.0,0.906526,0.01,0.002,-19.724220000000003,666.2718,102.8486662249128
-10.0,0.907988,0.01,0.002,-79.61057999999998,671.7006,102.46274869497017
-5.0,0.909551,0.01,0.002,-47.770739999999996,679.6314,101.27624296529298
0.0,0.911208,0.01,0.002,-64.7757,687.096,100.21586161616676
5.0,0.912808,0.01,0.002,-83.421,693.747,98.99513199705827
10.0,0.914437,0.01,0.002,-51.60186,702.1224,97.79951895011483
15.0,0.916099,0.01,0.002,-65.18213999999999,710.631,96.49462547046609
20.0,0.919114,0.01,0.002,-81.46422000000001,718.2918,95.0862437286602
25.0,0.919442,0.01,0.002,-98.02170000000001,727.227,93.96749613484783
30.0,0.921287,0.01,0.002,-116.8146,735.7824,92.22206054980772
35.0,0.922973,0.01,0.002,-134.44992000000002,743.679,90.38910978737279
40.0,0.911987,0.01,0.001,-145.76778,752.3639999999999,88.75097854269549
45.0,0.91393,0.01,0.001,-158.21748000000002,760.6386,87.25652108378577
50.0,0.934239,0.01,0.002,-198.0324,741.9455999999999,84.55651934175874
55.0,0.917911,0.01,0.001,-60.75072,768.6918000000001,84.09965466732127
60.0,0.919991,0.01,0.001,-64.03842,786.0528,82.86553469794042
65.0,0.939231,0.01,0.002,-95.52438000000001,769.7411999999999,79.7955325222295
70.0,0.924191,0.01,0.001,-74.05794000000002,807.2729999999999,79.76834318434182
75.0,0.939014,0.01,0.002,-137.46204,783.2466000000001,76.0929472909188
80.0,0.944102,0.01,0.002,-145.96236,793.7298000000001,74.55574439661248
85.0,0.930568,0.01,0.001,-98.32698,835.2467999999999,75.39047765545149
90.0,0.932857,0.01,0.001,-107.92206,844.1064,73.99153969131905
95.0,0.935084,0.01,0.001,-117.06912,851.8392,72.69312162454051
100.0,0.929469,0.009,0.008,-127.95228000000002,856.9692,70.70521631953922
105.0,0.931555,0.009,0.008,-143.27478000000002,859.0752,69.4302534604412
110.0,0.93369,0.009,0.008,-149.63165999999998,859.3398000000001,68.24351418820096
115.0,0.939984,0.009,0.007,-151.68366,852.9552,67.28579396309574
120.0,0.945827,0.009,0.007,-150.59196,845.5302,65.89399308226687
125.0,0.958366,0.009,0.007,-147.53862,833.5944000000001,64.60029434622382
