,iout,vgate,name,type,time,OK
0,2.29739,0.373145,tran_SchGtKttmmTtVt_29,Sch,Mon Sep  8 16:05:19 2025,False
1,2.280199,0.3763933,tran_SchGtKttmmTtVt_28,Sch,Mon Sep  8 16:05:18 2025,False
2,2.221683,0.3795171,tran_SchGtKttmmTtVt_27,Sch,Mon Sep  8 16:05:17 2025,False
3,2.410756,0.3648493,tran_SchGtKttmmTtVt_26,Sch,Mon Sep  8 16:05:16 2025,False
4,2.330039,0.3718834,tran_SchGtKttmmTtVt_25,Sch,Mon Sep  8 16:05:16 2025,False
5,2.358744,0.3727383,tran_SchGtKttmmTtVt_24,Sch,Mon Sep  8 16:05:15 2025,False
6,2.269469,0.3766377,tran_SchGtKttmmTtVt_23,Sch,Mon Sep  8 16:05:14 2025,False
7,2.369602,0.3705195,tran_SchGtKttmmTtVt_22,Sch,Mon Sep  8 16:05:14 2025,False
8,2.30428,0.3772167,tran_SchGtKttmmTtVt_21,Sch,Mon Sep  8 16:05:13 2025,False
9,2.310972,0.3765872,tran_SchGtKttmmTtVt_20,Sch,Mon Sep  8 16:05:12 2025,False
10,2.389925,0.3717216,tran_SchGtKttmmTtVt_19,Sch,Mon Sep  8 16:05:12 2025,False
11,2.321902,0.3770124,tran_SchGtKttmmTtVt_18,Sch,Mon Sep  8 16:05:11 2025,False
12,2.223674,0.3754406,tran_SchGtKttmmTtVt_17,Sch,Mon Sep  8 16:05:10 2025,False
13,2.243802,0.3791959,tran_SchGtKttmmTtVt_16,Sch,Mon Sep  8 16:05:10 2025,False
14,2.328868,0.3770151,tran_SchGtKttmmTtVt_15,Sch,Mon Sep  8 16:05:09 2025,False
15,2.29215,0.3718376,tran_SchGtKttmmTtVt_14,Sch,Mon Sep  8 16:05:08 2025,False
16,2.2974069999999998,0.3746808,tran_SchGtKttmmTtVt_13,Sch,Mon Sep  8 16:05:07 2025,False
17,2.259428,0.3814359,tran_SchGtKttmmTtVt_12,Sch,Mon Sep  8 16:05:07 2025,False
18,2.24311,0.3788551,tran_SchGtKttmmTtVt_11,Sch,Mon Sep  8 16:05:06 2025,False
19,2.333603,0.3731367,tran_SchGtKttmmTtVt_10,Sch,Mon Sep  8 16:05:05 2025,False
20,2.248661,0.3775486,tran_SchGtKttmmTtVt_9,Sch,Mon Sep  8 16:05:05 2025,False
21,2.223433,0.3813448,tran_SchGtKttmmTtVt_8,Sch,Mon Sep  8 16:05:04 2025,False
22,2.216421,0.380836,tran_SchGtKttmmTtVt_7,Sch,Mon Sep  8 16:05:03 2025,False
23,2.2946600000000004,0.3782424,tran_SchGtKttmmTtVt_6,Sch,Mon Sep  8 16:05:02 2025,False
24,2.2051819999999998,0.381244,tran_SchGtKttmmTtVt_5,Sch,Mon Sep  8 16:05:02 2025,False
25,2.277576,0.3753129,tran_SchGtKttmmTtVt_4,Sch,Mon Sep  8 16:05:01 2025,False
26,2.28533,0.3773092,tran_SchGtKttmmTtVt_3,Sch,Mon Sep  8 16:05:00 2025,False
27,2.2616,0.37504,tran_SchGtKttmmTtVt_2,Sch,Mon Sep  8 16:05:00 2025,False
28,2.3344139999999998,0.3734568,tran_SchGtKttmmTtVt_1,Sch,Mon Sep  8 16:04:59 2025,False
29,2.286779,0.3744663,tran_SchGtKttmmTtVt,Sch,Mon Sep  8 16:04:58 2025,False
