Temperature (°C),Reference voltage (V)
-40.0,0.879804
-35.0,0.880391
-30.0,0.879409
-25.0,0.881519
-20.0,0.45913
-15.0,0.895431
-10.0,0.472255
-5.0,0.899422
0.0,0.900875
5.0,0.899922
10.0,0.901016
15.0,0.901638
20.0,0.902719
25.0,0.904549
27.0,0.901101
30.0,0.90526
35.0,0.906392
40.0,0.908469
45.0,0.90762
50.0,0.909003
55.0,0.912791
60.0,0.925698
65.0,0.915911
70.0,0.0417636
75.0,0.0417521
80.0,0.0417345
85.0,0.0417265
90.0,0.0417096
95.0,0.0417027
100.0,0.0417001
105.0,0.0417061
110.0,0.93251
115.0,0.934625
120.0,0.936794
125.0,0.939018
