,ibias,iref,vgate,name,type,time,OK
0,-52.46676,-52.60316,0.9880775,tran_SchGtKfsTlVh,Sch,Tue Sep  9 00:50:46 2025,True
1,-57.93518,-57.77187,0.9082992,tran_SchGtKsfTlVh,Sch,Tue Sep  9 00:50:46 2025,True
2,-64.07342,-64.01382,0.935461,tran_SchGtKffTlVh,Sch,Tue Sep  9 00:50:46 2025,True
3,-48.14136,-48.18703,0.9632698,tran_SchGtKssTlVh,Sch,Tue Sep  9 00:50:46 2025,True
4,-47.926700000000004,-48.08791,0.9972811,tran_SchGtKfsThVh,Sch,Tue Sep  9 00:50:46 2025,True
5,-53.63107,-53.46342,0.9075491,tran_SchGtKsfThVh,Sch,Tue Sep  9 00:50:46 2025,True
6,-58.860200000000006,-58.81841,0.9408898,tran_SchGtKffThVh,Sch,Tue Sep  9 00:50:46 2025,True
7,-44.30525,-44.361979999999996,0.9669118,tran_SchGtKssThVh,Sch,Tue Sep  9 00:50:46 2025,True
8,-52.46676,-52.60316,0.9880775,tran_SchGtKfsTlVl,Sch,Tue Sep  9 00:50:46 2025,True
9,-57.93518,-57.77187,0.9082992,tran_SchGtKsfTlVl,Sch,Tue Sep  9 00:50:46 2025,True
10,-64.07342,-64.01382,0.935461,tran_SchGtKffTlVl,Sch,Tue Sep  9 00:50:46 2025,True
11,-48.14136,-48.18703,0.9632698,tran_SchGtKssTlVl,Sch,Tue Sep  9 00:50:46 2025,True
12,-47.926700000000004,-48.08791,0.9972811,tran_SchGtKfsThVl,Sch,Tue Sep  9 00:50:46 2025,True
13,-53.63107,-53.46342,0.9075491,tran_SchGtKsfThVl,Sch,Tue Sep  9 00:50:46 2025,True
14,-58.860200000000006,-58.81841,0.9408898,tran_SchGtKffThVl,Sch,Tue Sep  9 00:50:46 2025,True
15,-44.30525,-44.361979999999996,0.9669118,tran_SchGtKssThVl,Sch,Tue Sep  9 00:50:46 2025,True
